Resonance Energy (eV),Resonance Spin,Total Width (eV),Gamma-N (eV),Gamma-N-Nought (eV),Gamma-Gamma (eV),Gamma-F (eV)
2.90E-01,3.50E+00,1.35E-01,3.02E-06,5.60E-06,3.60E-02,9.90E-02
1.14E+00,3.50E+00,1.51E-01,1.52E-05,1.42E-05,3.46E-02,1.16E-01
2.04E+00,3.50E+00,4.47E-02,7.66E-06,5.37E-06,3.49E-02,9.81E-03
2.92E+00,3.50E+00,2.20E-01,4.85E-06,2.84E-06,2.00E-02,2.00E-01
3.15E+00,3.50E+00,1.40E-01,2.24E-05,1.26E-05,3.32E-02,1.06E-01
3.61E+00,3.50E+00,8.44E-02,4.56E-05,2.40E-05,3.37E-02,5.06E-02
4.85E+00,3.50E+00,3.96E-02,6.03E-05,2.74E-05,3.59E-02,3.59E-03
5.45E+00,3.50E+00,9.01E-02,3.36E-06,1.44E-06,6.00E-02,3.01E-02
5.60E+00,3.50E+00,6.42E-01,3.33E-05,1.41E-05,2.00E-02,6.22E-01
6.21E+00,3.50E+00,2.31E-01,6.38E-05,2.56E-05,4.35E-02,1.87E-01
6.38E+00,3.50E+00,4.48E-02,2.68E-04,1.06E-04,3.50E-02,9.55E-03
7.08E+00,3.50E+00,6.39E-02,1.27E-04,4.76E-05,3.56E-02,2.82E-02
8.78E+00,3.50E+00,1.23E-01,1.12E-03,3.79E-04,3.12E-02,9.10E-02
9.29E+00,3.50E+00,1.11E-01,1.64E-04,5.37E-05,3.56E-02,7.50E-02
9.73E+00,3.50E+00,2.69E-01,5.30E-05,1.70E-05,3.20E-02,2.37E-01
1.02E+01,3.50E+00,1.01E-01,6.19E-05,1.94E-05,3.80E-02,6.25E-02
1.08E+01,3.50E+00,9.35E-01,9.33E-05,2.84E-05,6.70E-02,8.68E-01
1.17E+01,3.50E+00,4.73E-02,6.27E-04,1.84E-04,4.04E-02,6.25E-03
1.24E+01,3.50E+00,6.33E-02,1.26E-03,3.59E-04,3.45E-02,2.75E-02
1.29E+01,3.50E+00,1.20E-01,5.31E-05,1.48E-05,3.35E-02,8.60E-02
1.33E+01,3.50E+00,1.51E-01,3.94E-05,1.08E-05,2.86E-02,1.23E-01
1.37E+01,3.50E+00,1.24E-01,3.70E-05,1.00E-05,3.04E-02,9.35E-02
1.40E+01,3.50E+00,4.97E-01,5.37E-04,1.44E-04,2.60E-02,4.70E-01
1.45E+01,3.50E+00,5.62E-02,1.15E-04,3.02E-05,3.52E-02,2.09E-02
1.54E+01,3.50E+00,7.88E-02,2.37E-04,6.04E-05,3.53E-02,4.33E-02
1.61E+01,3.50E+00,5.04E-02,3.61E-04,9.00E-05,3.14E-02,1.86E-02
1.67E+01,3.50E+00,1.33E-01,2.73E-04,6.69E-05,3.21E-02,1.01E-01
1.81E+01,3.50E+00,1.60E-01,3.85E-04,9.05E-05,3.50E-02,1.25E-01
1.90E+01,3.50E+00,1.05E-01,1.16E-04,2.66E-05,5.00E-02,5.50E-02
